                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,log_emp         ,  R-squared:         ,0.9784   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.9776   
No. Observations:,9412            ,  F-statistic:       ,1.543e+08
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:54        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.5614]      ,10.941   ,2.4027   ,4.5535 ,0.0000 ,6.2314  ,15.650  
C(sector)[T.5615]      ,10.140   ,2.4070   ,4.2128 ,0.0000 ,5.4224  ,14.858  
C(sector)[T.5616]      ,11.101   ,2.4012   ,4.6233 ,0.0000 ,6.3952  ,15.808  
C(sector)[T.5617]      ,11.821   ,2.4000   ,4.9256 ,0.0000 ,7.1174  ,16.525  
C(sector)[T.5619]      ,10.242   ,2.4039   ,4.2605 ,0.0000 ,5.5302  ,14.953  
C(sector)[T.5621]      ,9.4721   ,2.4001   ,3.9466 ,0.0001 ,4.7681  ,14.176  
C(sector)[T.5622]      ,8.6965   ,2.4055   ,3.6153 ,0.0003 ,3.9818  ,13.411  
C(sector)[T.5629]      ,9.1122   ,2.3996   ,3.7974 ,0.0001 ,4.4091  ,13.815  
C(sector)[T.6111]      ,11.844   ,2.2663   ,5.2263 ,0.0000 ,7.4026  ,16.286  
C(sector)[T.6112]      ,9.5913   ,2.2660   ,4.2326 ,0.0000 ,5.1500  ,14.033  
C(sector)[T.6113]      ,12.513   ,2.2661   ,5.5220 ,0.0000 ,8.0718  ,16.955  
C(sector)[T.6114]      ,9.2863   ,2.2676   ,4.0952 ,0.0000 ,4.8418  ,13.731  
C(sector)[T.6115]      ,9.7621   ,2.2665   ,4.3071 ,0.0000 ,5.3198  ,14.204  
C(sector)[T.6116]      ,10.753   ,2.2664   ,4.7448 ,0.0000 ,6.3115  ,15.196  
C(sector)[T.6117]      ,9.2491   ,2.2670   ,4.0800 ,0.0000 ,4.8059  ,13.692  
C(sector)[T.6211]      ,11.059   ,2.1529   ,5.1366 ,0.0000 ,6.8390  ,15.278  
C(sector)[T.6212]      ,10.118   ,2.1569   ,4.6910 ,0.0000 ,5.8906  ,14.345  
C(sector)[T.6213]      ,9.7695   ,2.1609   ,4.5211 ,0.0000 ,5.5342  ,14.005  
C(sector)[T.6214]      ,9.8723   ,2.1646   ,4.5608 ,0.0000 ,5.6298  ,14.115  
C(sector)[T.6215]      ,8.7588   ,2.1587   ,4.0575 ,0.0000 ,4.5279  ,12.990  
C(sector)[T.6216]      ,10.355   ,2.1712   ,4.7694 ,0.0000 ,6.0998  ,14.611  
C(sector)[T.6219]      ,8.8878   ,2.1567   ,4.1210 ,0.0000 ,4.6608  ,13.115  
C(sector)[T.6221]      ,11.977   ,2.1520   ,5.5658 ,0.0000 ,7.7596  ,16.195  
C(sector)[T.6222]      ,9.0974   ,2.1512   ,4.2289 ,0.0000 ,4.8810  ,13.314  
C(sector)[T.6223]      ,8.7304   ,2.1600   ,4.0418 ,0.0001 ,4.4969  ,12.964  
C(sector)[T.6231]      ,10.813   ,2.1573   ,5.0126 ,0.0000 ,6.5852  ,15.041  
C(sector)[T.6232]      ,9.6863   ,2.1604   ,4.4835 ,0.0000 ,5.4519  ,13.921  
C(sector)[T.6233]      ,9.9429   ,2.1607   ,4.6016 ,0.0000 ,5.7079  ,14.178  
C(sector)[T.6239]      ,8.4568   ,2.1523   ,3.9291 ,0.0001 ,4.2383  ,12.675  
C(sector)[T.6241]      ,10.405   ,2.1666   ,4.8025 ,0.0000 ,6.1586  ,14.651  
C(sector)[T.6242]      ,8.4014   ,2.1635   ,3.8832 ,0.0001 ,4.1609  ,12.642  
C(sector)[T.6243]      ,9.2799   ,2.1519   ,4.3125 ,0.0000 ,5.0623  ,13.497  
C(sector)[T.6244]      ,10.077   ,2.1600   ,4.6652 ,0.0000 ,5.8431  ,14.310  
C(sector)[T.7111]      ,9.8633   ,2.0803   ,4.7412 ,0.0000 ,5.7859  ,13.941  
C(sector)[T.7112]      ,9.7952   ,2.0808   ,4.7075 ,0.0000 ,5.7169  ,13.873  
C(sector)[T.7113]      ,9.7370   ,2.0866   ,4.6664 ,0.0000 ,5.6473  ,13.827  
C(sector)[T.7114]      ,7.9129   ,2.0848   ,3.7955 ,0.0001 ,3.8267  ,11.999  
C(sector)[T.7115]      ,8.9691   ,2.0843   ,4.3032 ,0.0000 ,4.8839  ,13.054  
C(sector)[T.7121]      ,9.8289   ,2.0853   ,4.7135 ,0.0000 ,5.7418  ,13.916  
C(sector)[T.7131]      ,10.032   ,2.0822   ,4.8180 ,0.0000 ,5.9511  ,14.113  
C(sector)[T.7132]      ,9.9582   ,2.0845   ,4.7772 ,0.0000 ,5.8726  ,14.044  
C(sector)[T.7139]      ,12.020   ,2.0812   ,5.7753 ,0.0000 ,7.9405  ,16.099  
C(sector)[T.7211]      ,11.359   ,1.7371   ,6.5390 ,0.0000 ,7.9544  ,14.764  
C(sector)[T.7212]      ,7.5251   ,1.7380   ,4.3297 ,0.0000 ,4.1187  ,10.932  
C(sector)[T.7213]      ,6.6788   ,1.7415   ,3.8351 ,0.0001 ,3.2655  ,10.092  
C(sector)[T.7223]      ,10.350   ,1.7355   ,5.9635 ,0.0000 ,6.9481  ,13.751  
C(sector)[T.7224]      ,9.7805   ,1.7392   ,5.6236 ,0.0000 ,6.3718  ,13.189  
C(sector)[T.7225]      ,12.879   ,1.7358   ,7.4197 ,0.0000 ,9.4772  ,16.282  
C(sector)[T.8111]      ,11.286   ,2.3933   ,4.7158 ,0.0000 ,6.5955  ,15.977  
C(sector)[T.8112]      ,9.4118   ,2.3977   ,3.9253 ,0.0001 ,4.7124  ,14.111  
C(sector)[T.8113]      ,9.8204   ,2.3970   ,4.0969 ,0.0000 ,5.1223  ,14.519  
