                     IV-2SLS Estimation Summary                    
Dep. Variable:   ,estabs_entry_rate,  R-squared:         ,0.8561   
Estimator:       ,IV-2SLS          ,  Adj. R-squared:    ,0.8511   
No. Observations:,8262             ,  F-statistic:       ,5.197e+05
Date:            ,Sat, Aug 13 2022 ,  P-value (F-stat)   ,0.0000   
Time:            ,22:39:22         ,  Distribution:      ,chi2(279)
Cov. Estimator:  ,heteroskedastic  ,                     ,         
                 ,                 ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.1100]      ,0.0653   ,0.0879   ,0.7427 ,0.4577 ,-0.1070 ,0.2376  
C(sector)[T.2111]      ,0.0340   ,0.0795   ,0.4271 ,0.6693 ,-0.1219 ,0.1898  
C(sector)[T.2121]      ,0.0613   ,0.0800   ,0.7661 ,0.4436 ,-0.0955 ,0.2181  
C(sector)[T.2122]      ,0.0653   ,0.0799   ,0.8178 ,0.4135 ,-0.0912 ,0.2219  
C(sector)[T.2123]      ,0.0097   ,0.0794   ,0.1217 ,0.9031 ,-0.1460 ,0.1654  
C(sector)[T.2131]      ,0.0687   ,0.0796   ,0.8636 ,0.3878 ,-0.0872 ,0.2246  
C(sector)[T.2211]      ,0.0050   ,0.0822   ,0.0611 ,0.9513 ,-0.1561 ,0.1661  
C(sector)[T.2212]      ,0.0053   ,0.0820   ,0.0647 ,0.9484 ,-0.1554 ,0.1660  
C(sector)[T.2213]      ,0.0075   ,0.0819   ,0.0920 ,0.9267 ,-0.1530 ,0.1681  
C(sector)[T.3111]      ,-0.0240  ,0.1026   ,-0.2334,0.8155 ,-0.2251 ,0.1772  
C(sector)[T.3112]      ,-0.0357  ,0.1027   ,-0.3471,0.7285 ,-0.2370 ,0.1657  
C(sector)[T.3113]      ,0.0019   ,0.1027   ,0.0184 ,0.9853 ,-0.1994 ,0.2032  
C(sector)[T.3114]      ,-0.0137  ,0.1027   ,-0.1334,0.8939 ,-0.2151 ,0.1876  
C(sector)[T.3115]      ,-0.0326  ,0.1027   ,-0.3172,0.7511 ,-0.2338 ,0.1687  
C(sector)[T.3116]      ,-0.0231  ,0.1027   ,-0.2247,0.8222 ,-0.2243 ,0.1781  
C(sector)[T.3117]      ,-0.0137  ,0.1027   ,-0.1339,0.8935 ,-0.2150 ,0.1875  
C(sector)[T.3118]      ,0.0217   ,0.1027   ,0.2117 ,0.8323 ,-0.1795 ,0.2230  
C(sector)[T.3119]      ,0.0120   ,0.1028   ,0.1165 ,0.9072 ,-0.1894 ,0.2134  
C(sector)[T.3121]      ,0.0503   ,0.1029   ,0.4891 ,0.6247 ,-0.1514 ,0.2520  
C(sector)[T.3122]      ,0.0003   ,0.1032   ,0.0030 ,0.9976 ,-0.2020 ,0.2026  
C(sector)[T.3131]      ,-0.0304  ,0.1027   ,-0.2957,0.7675 ,-0.2317 ,0.1709  
C(sector)[T.3132]      ,-0.0243  ,0.1027   ,-0.2366,0.8130 ,-0.2256 ,0.1770  
C(sector)[T.3133]      ,0.0075   ,0.1029   ,0.0725 ,0.9422 ,-0.1943 ,0.2092  
C(sector)[T.3141]      ,-0.0079  ,0.1026   ,-0.0771,0.9385 ,-0.2091 ,0.1933  
C(sector)[T.3149]      ,0.0174   ,0.1028   ,0.1693 ,0.8655 ,-0.1840 ,0.2188  
C(sector)[T.3151]      ,-0.0111  ,0.1026   ,-0.1079,0.9140 ,-0.2123 ,0.1901  
C(sector)[T.3152]      ,0.0711   ,0.1028   ,0.6913 ,0.4894 ,-0.1304 ,0.2725  
C(sector)[T.3159]      ,0.0196   ,0.1027   ,0.1910 ,0.8485 ,-0.1817 ,0.2209  
C(sector)[T.3161]      ,-0.0197  ,0.1027   ,-0.1919,0.8479 ,-0.2210 ,0.1816  
C(sector)[T.3162]      ,-0.0180  ,0.1027   ,-0.1755,0.8607 ,-0.2194 ,0.1833  
